文件,行数
src\main\java\com\imagemanager\ai\AIConfig.java,176
src\main\java\com\imagemanager\ai\AIModelClient.java,136
src\main\java\com\imagemanager\ai\AIService.java,44
src\main\java\com\imagemanager\ai\OpenAICompatibleService.java,424
src\main\java\com\imagemanager\App.java,189
src\main\java\com\imagemanager\controller\DatabaseSetupDialog.java,254
src\main\java\com\imagemanager\controller\ImageEditorController.java,458
src\main\java\com\imagemanager\controller\ImageViewerController.java,303
src\main\java\com\imagemanager\controller\MainController.java,2040
src\main\java\com\imagemanager\controller\RenameDialogController.java,155
src\main\java\com\imagemanager\controller\SettingsController.java,502
src\main\java\com\imagemanager\controller\SlideshowController.java,734
src\main\java\com\imagemanager\controller\WelcomeDialogController.java,253
src\main\java\com\imagemanager\dao\DatabaseConnection.java,236
src\main\java\com\imagemanager\dao\DirectoryDao.java,75
src\main\java\com\imagemanager\dao\DirectoryDaoImpl.java,248
src\main\java\com\imagemanager\dao\ImageDao.java,100
src\main\java\com\imagemanager\dao\ImageDaoImpl.java,340
src\main\java\com\imagemanager\dao\SettingsDao.java,38
src\main\java\com\imagemanager\dao\SettingsDaoImpl.java,185
src\main\java\com\imagemanager\dao\TagDao.java,92
src\main\java\com\imagemanager\dao\TagDaoImpl.java,827
src\main\java\com\imagemanager\dao\VersionDao.java,38
src\main\java\com\imagemanager\dao\VersionDaoImpl.java,239
src\main\java\com\imagemanager\Launcher.java,19
src\main\java\com\imagemanager\model\AppSetting.java,35
src\main\java\com\imagemanager\model\DirectoryNode.java,48
src\main\java\com\imagemanager\model\ImageAnalysisResult.java,39
src\main\java\com\imagemanager\model\ImageFile.java,120
src\main\java\com\imagemanager\model\ImageTag.java,29
src\main\java\com\imagemanager\model\ImageVersion.java,43
src\main\java\com\imagemanager\model\OperationType.java,52
src\main\java\com\imagemanager\model\Tag.java,34
src\main\java\com\imagemanager\model\TagCategory.java,25
src\main\java\com\imagemanager\scanner\DirectoryScanner.java,186
src\main\java\com\imagemanager\scanner\ScanProgressEstimator.java,396
src\main\java\com\imagemanager\scanner\ScanTask.java,397
src\main\java\com\imagemanager\service\AiTagStorageService.java,304
src\main\java\com\imagemanager\service\DatabaseBootstrapService.java,275
src\main\java\com\imagemanager\service\EditService.java,317
src\main\java\com\imagemanager\service\ImageService.java,101
src\main\java\com\imagemanager\service\ImageServiceImpl.java,442
src\main\java\com\imagemanager\service\MusicService.java,232
src\main\java\com\imagemanager\service\SearchService.java,229
src\main\java\com\imagemanager\util\AlertUtil.java,105
src\main\java\com\imagemanager\util\FileUtil.java,120
src\main\java\com\imagemanager\util\ImageUtil.java,186
src\main\java\com\imagemanager\util\ThemeUtil.java,169
src\main\resources\config\database.properties,21
src\main\resources\css\style.css,1245
src\main\resources\fxml\ImageEditorView.fxml,86
src\main\resources\fxml\ImageViewerView.fxml,58
src\main\resources\fxml\MainView.fxml,148
src\main\resources\fxml\RenameDialog.fxml,56
src\main\resources\fxml\SettingsView.fxml,193
src\main\resources\fxml\SlideshowView.fxml,104
src\main\resources\fxml\WelcomeDialog.fxml,100
src\main\resources\music\README.md,12
src\test\java\com\imagemanager\UiSnapshotSmoke.java,415
sql\data.sql,41
sql\schema.sql,757
