2026-04-16 17:00:06.057 [JavaFX Application Thread] INFO  com.imagemanager.App - 正在初始化数据库连接...
2026-04-16 17:00:06.086 [JavaFX Application Thread] INFO  com.zaxxer.hikari.HikariDataSource - DIMS-HikariPool - Starting...
2026-04-16 17:00:06.594 [JavaFX Application Thread] INFO  com.zaxxer.hikari.pool.HikariPool - DIMS-HikariPool - Added connection org.postgresql.jdbc.PgConnection@59c1115d
2026-04-16 17:00:06.597 [JavaFX Application Thread] INFO  com.zaxxer.hikari.HikariDataSource - DIMS-HikariPool - Start completed.
2026-04-16 17:00:06.597 [JavaFX Application Thread] INFO  com.imagemanager.dao.DatabaseConnection - 数据库连接池初始化成功 [URL=jdbc:postgresql://localhost:5432/image_manager] [池大小=10]
2026-04-16 17:00:06.598 [JavaFX Application Thread] INFO  com.imagemanager.App - 数据库连接初始化成功
2026-04-16 17:00:07.445 [JavaFX Application Thread] INFO  com.imagemanager.controller.MainController - 初始化主界面...
2026-04-16 17:00:07.456 [JavaFX Application Thread] INFO  com.imagemanager.controller.MainController - 主界面初始化完成
2026-04-16 17:00:08.482 [JavaFX Application Thread] INFO  com.imagemanager.App - 应用程序启动成功
2026-04-16 17:00:14.135 [JavaFX Application Thread] INFO  com.imagemanager.App - 应用程序关闭中，释放资源...
2026-04-16 17:00:14.135 [JavaFX Application Thread] INFO  com.zaxxer.hikari.HikariDataSource - DIMS-HikariPool - Shutdown initiated...
2026-04-16 17:00:14.140 [JavaFX Application Thread] INFO  com.zaxxer.hikari.HikariDataSource - DIMS-HikariPool - Shutdown completed.
2026-04-16 17:00:14.140 [JavaFX Application Thread] INFO  com.imagemanager.dao.DatabaseConnection - 数据库连接池已关闭
2026-04-16 17:00:14.141 [JavaFX Application Thread] INFO  com.imagemanager.App - 资源释放完毕
